address,area_sqft,baths,beds,city,days_on_zillow,home_type,img_url,latitude,longitude,lot_area_unit,lot_area_value,price,price_numeric,state,status_text,status_type,url,year_built,zipcode,zpid
"302 Flora Dr, Champaign, IL 61821",1588.0,1.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/d456f1e2728d9101f5a28f6b12b0dde2-p_e.jpg,40.11406,-88.2663,sqft,5662.8,"$189,900",189900.0,IL,Price Change,FOR_SALE,https://www.zillow.com/homedetails/302-Flora-Dr-Champaign-IL-61821/3223889_zpid/,,61821,3223889
"1619 Peppermill Ln, Champaign, IL 61822",1630.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/36ddee6823f75501b281d25192234f4e-p_e.jpg,40.128777,-88.31231,sqft,6534.0,"$379,000",379000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1619-Peppermill-Ln-Champaign-IL-61822/455545564_zpid/,,61822,455545564
"5016 Trey Blvd, Champaign, IL 61822",2160.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3a8a90a7d4e92394d84666c0665b245f-p_e.jpg,40.099705,-88.33107,sqft,9600.0,"$650,000",650000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/5016-Trey-Blvd-Champaign-IL-61822/89055814_zpid/,,61822,89055814
"1507 W Columbia Ave, Champaign, IL 61821",1031.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a83ed25d05a12777dd6c3a7b0adc5fce-p_e.jpg,40.120983,-88.27135,sqft,8128.0,"$169,900",169900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1507-W-Columbia-Ave-Champaign-IL-61821/3222312_zpid/,,61821,3222312
"22 Greencroft Dr, Champaign, IL 61821",3667.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/caf012f49030b419348e9e4c68dce789-p_e.jpg,40.100826,-88.25801,acres,0.6,"$1,080,000",1080000.0,IL,For sale by owner,FOR_SALE,https://www.zillow.com/homedetails/22-Greencroft-Dr-Champaign-IL-61821/3228027_zpid/,,61821,3228027
"3901 Slate Dr, Champaign, IL 61822",1917.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a938f9c96da67f327c0c69a8367618a2-p_e.jpg,40.131985,-88.31038,acres,0.8360881542699724,"$418,900",418900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/3901-Slate-Dr-Champaign-IL-61822/249417999_zpid/,,61822,249417999
"1205 Broadmoor Dr, Champaign, IL 61821",2570.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3aa040ebd24b7d6a49a82bc1f757a938-p_e.jpg,40.0938,-88.26515,sqft,10454.4,"$520,000",520000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1205-Broadmoor-Dr-Champaign-IL-61821/3232468_zpid/,,61821,3232468
"4508 Legends Dr, Champaign, IL 61822",1873.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a88ecad00f63ab400ae38f529790d000-p_e.jpg,40.07242,-88.31862,sqft,4791.6,"$415,000",415000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4508-Legends-Dr-Champaign-IL-61822/443477805_zpid/,,61822,443477805
"303 N Draper Ave, Champaign, IL 61821",876.0,1.0,2.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/90705c140a49f461e416eca4aeb9cf2e-p_e.jpg,40.118896,-88.270645,sqft,8617.0,"$160,000",160000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/303-N-Draper-Ave-Champaign-IL-61821/3223137_zpid/,,61821,3223137
"1503 English Oak Dr, Champaign, IL 61822",2876.0,5.0,6.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/4cd1775ee15a545028243a4c44d7f183-p_e.jpg,40.100212,-88.32819,acres,0.2743595041322314,"$727,900",727900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1503-English-Oak-Dr-Champaign-IL-61822/89055371_zpid/,,61822,89055371
"4406 Crossgate Dr, Champaign, IL 61822",3242.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/915493cd8834e63df317032249548553-p_e.jpg,40.091263,-88.31817,sqft,9583.2,"$519,000",519000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4406-Crossgate-Dr-Champaign-IL-61822/3197673_zpid/,,61822,3197673
"3309 Palmer Dr, Champaign, IL 61822",1773.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3abe62ae80dcb25055b1982d41e71f5a-p_e.jpg,40.07173,-88.31951,sqft,4791.6,"$399,900",399900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/3309-Palmer-Dr-Champaign-IL-61822/454871488_zpid/,,61822,454871488
"1621 English Oak Dr, Champaign, IL 61822",3297.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/44635f82db65d8b93b994eff03a38169-p_e.jpg,40.095745,-88.32881,acres,0.3282828282828283,"$799,900",799900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1621-English-Oak-Dr-Champaign-IL-61822/70048989_zpid/,,61822,70048989
"811 Hamilton Dr, Champaign, IL 61820",2496.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/70ae4f8ea3b7d7f4922e9d7549072ee8-p_e.jpg,40.11472,-88.24267,acres,0.5463728191000918,"$675,000",675000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/811-Hamilton-Dr-Champaign-IL-61820/3226244_zpid/,,61820,3226244
"2410 Wendover Pl, Champaign, IL 61822",2663.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/e3a7a11f8b175d1accb20614f8c9d798-p_e.jpg,40.082703,-88.30006,,,"$620,000",620000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2410-Wendover-Pl-Champaign-IL-61822/3234641_zpid/,,61822,3234641
"1009 W Columbia Ave, Champaign, IL 61821",1524.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/6a49ce567c194110c502e0f2db17adfd-p_e.jpg,40.121056,-88.26147,sqft,8250.0,"$229,900",229900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1009-W-Columbia-Ave-Champaign-IL-61821/3222831_zpid/,,61821,3222831
"1308 N Champaign St, Champaign, IL 61820",993.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ed63bf6c005f83f51c9d66fa9c5dcf09-p_e.jpg,40.129234,-88.23964,sqft,5227.2,"$100,000",100000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1308-N-Champaign-St-Champaign-IL-61820/3219912_zpid/,,61820,3219912
"4203 Curtis Meadow Dr, Champaign, IL 61822",2922.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/3d7da9aa7b12d4f7e9df9c34c281d39f-p_e.jpg,40.095512,-88.31489,acres,1.0,"$1,099,000",1099000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4203-Curtis-Meadow-Dr-Champaign-IL-61822/3197558_zpid/,,61822,3197558
"1115 Joanne Ln, Champaign, IL 61820",1275.0,1.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/53d8973cfb2bf579fb5606614990c551-p_e.jpg,40.13098,-88.265205,sqft,7605.0,"$105,000",105000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1115-Joanne-Ln-Champaign-IL-61820/3220928_zpid/,,61820,3220928
"5008 Emmas Way, Champaign, IL 61822",2012.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2726b0a1f83191ac6f235f11cead3278-p_e.jpg,40.091297,-88.32985,sqft,7800.0,"$475,000",475000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/5008-Emmas-Way-Champaign-IL-61822/120800597_zpid/,,61822,120800597
"412 Doisy Ln, Champaign, IL 61822",2210.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/98380578917bd0deebed4c5a115e1e0a-p_e.jpg,40.15084,-88.25162,sqft,5175.0,"$345,000",345000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/412-Doisy-Ln-Champaign-IL-61822/72594282_zpid/,,61822,72594282
"302 Sutton St, Savoy, IL 61874",1970.0,3.0,3.0,Savoy,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f7cba51fa68b4a156512d261fa662914-p_e.jpg,40.04895,-88.24723,sqft,8400.0,"$429,900",429900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/302-Sutton-St-Savoy-IL-61874/450527208_zpid/,,61874,450527208
"2107 Max Run Dr, Champaign, IL 61822",2297.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bc251e9af75618b442a7997bdfadebcd-p_e.jpg,40.089245,-88.32919,sqft,8880.0,"$489,900",489900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2107-Max-Run-Dr-Champaign-IL-61822/124111884_zpid/,,61822,124111884
"1805 Mullikin Dr, Champaign, IL 61822",3000.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9a17791a175d1054134cc44b82a793c6-p_e.jpg,40.093376,-88.3231,,,"$665,000",665000.0,IL,For sale by owner,FOR_SALE,https://www.zillow.com/homedetails/1805-Mullikin-Dr-Champaign-IL-61822/65290321_zpid/,,61822,65290321
"2424 Prairie Ridge Place, Champaign, IL 61822",1500.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/411d1a9aefa45bd4319a2b383e3acd89-p_e.jpg,40.128174,-88.31426,sqft,5500.0,"$445,000",445000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2424-Prairie-Ridge-Place-Champaign-IL-61822/455102861_zpid/,,61822,455102861
"1410 S Mattis Ave, Champaign, IL 61821",1185.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2584826c616cd323332ee86149eadc19-p_e.jpg,40.10011,-88.276184,sqft,7405.2,"$179,900",179900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1410-S-Mattis-Ave-Champaign-IL-61821/3227723_zpid/,,61821,3227723
"4812 Oakdale Dr, Champaign, IL 61822",2741.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/865a2a03054b43f97afdfc94f48be07a-p_e.jpg,40.105854,-88.327324,sqft,9600.0,"$654,900",654900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4812-Oakdale-Dr-Champaign-IL-61822/89045255_zpid/,,61822,89045255
"3311 Palmer Dr, Champaign, IL 61822",1795.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a5f547200f0d8ddbf66982f468af7daf-p_e.jpg,40.071617,-88.31951,sqft,4867.0,"$454,900",454900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/3311-Palmer-Dr-Champaign-IL-61822/456671597_zpid/,,61822,456671597
"313 Sutton St, Savoy, IL 61874",2287.0,3.0,4.0,Savoy,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/c22a3216fdb10096cefb1a43dd4c6414-p_e.jpg,40.04846,-88.245766,sqft,7800.0,"$484,900",484900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/313-Sutton-St-Savoy-IL-61874/443477671_zpid/,,61874,443477671
"1315 Williamsburg Dr, Champaign, IL 61821",882.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f5ce7665b4b7aebfba2309509c6b7edd-p_e.jpg,40.129864,-88.27107,,,"$130,000",130000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1315-Williamsburg-Dr-Champaign-IL-61821/3220654_zpid/,,61821,3220654
"504 E Church St, Champaign, IL 61820",4709.0,5.0,6.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/456cdd1b3767fa40182e9438f4e00fe9-p_e.jpg,40.118603,-88.23163,sqft,8712.0,"$899,000",899000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/504-E-Church-St-Champaign-IL-61820/70052483_zpid/,,61820,70052483
"2605 Trafalgar Sq, Champaign, IL 61821",1937.0,2.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/96d9bb46794c105db8687982709aa686-p_e.jpg,40.097466,-88.29056,sqft,6700.0,"$229,900",229900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2605-Trafalgar-Sq-Champaign-IL-61821/3230230_zpid/,,61821,3230230
"2203 W Kirby Ave, Champaign, IL 61821",957.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/bf27cf28090ff19d350c115e62bafdc6-p_e.jpg,40.098095,-88.28386,sqft,7130.0,"$135,000",135000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/2203-W-Kirby-Ave-Champaign-IL-61821/3230555_zpid/,,61821,3230555
"311 S Van Doren St, Champaign, IL 61820",2592.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/147d909bdf9b7bfe828ced7fac712f04-p_e.jpg,40.11345,-88.25697,,,"$289,900",289900.0,IL,For sale by owner,FOR_SALE,https://www.zillow.com/homedetails/311-S-Van-Doren-St-Champaign-IL-61820/3225058_zpid/,,61820,3225058
"1901 Branch Rd, Champaign, IL 61821",1937.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/16eb8d63d7680ad7f38d1eead8d39300-p_e.jpg,40.086697,-88.27667,sqft,9785.0,"$249,000",249000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1901-Branch-Rd-Champaign-IL-61821/3231904_zpid/,,61821,3231904
"4007 Turnberry Dr, Champaign, IL 61822",3166.0,3.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9165536f2eac7614cf309cf0290e85bd-p_e.jpg,40.1025,-88.31172,,,"$479,000",479000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/4007-Turnberry-Dr-Champaign-IL-61822/3230025_zpid/,,61822,3230025
"1305 N Neil St, Champaign, IL 61820",882.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/70bdccaee60494c7e44b216309e25b99-p_e.jpg,40.1287,-88.24408,sqft,10018.8,"$114,999",114999.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1305-N-Neil-St-Champaign-IL-61820/3219840_zpid/,,61820,3219840
"1601 Joanne Ln, Champaign, IL 61821",1070.0,1.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/2550b0c4f13a921f92710cdcc32810b5-p_e.jpg,40.13307,-88.271774,,,"$108,000",108000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1601-Joanne-Ln-Champaign-IL-61821/3220438_zpid/,,61821,3220438
"3712 Lighthouse Pointe, Champaign, IL 61822",1546.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/5dc90ee47c686f6b47e2e461d1c26b58-p_e.jpg,40.130924,-88.30781,sqft,4356.0,"$320,000",320000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/3712-Lighthouse-Pointe-Champaign-IL-61822/443468651_zpid/,,61822,443468651
"1407 Sand Dollar Dr, Champaign, IL 61822",1585.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/a5d5e770b6575465f058b11fc5016b4d-p_e.jpg,40.1303,-88.30816,sqft,3800.0,"$349,900",349900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1407-Sand-Dollar-Dr-Champaign-IL-61822/72584418_zpid/,,61822,72584418
"1507 N Ridgeway Ave, Champaign, IL 61821",2893.0,8.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/639fcb5c1c7c865893f3cd484ffd70dc-p_e.jpg,40.131805,-88.2619,,,"$350,000",350000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1507-N-Ridgeway-Ave-Champaign-IL-61821/3220889_zpid/,,61821,3220889
"Boulder Ridge - Lighthouse Plan, Boulder Ridge",1546.0,3.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/f221feda57b8325624c9c07e68031d52-p_e.jpg,40.1309,-88.307495,,,"$320,000+",320000.0,IL,New construction,FOR_SALE,https://www.zillow.com/community/boulder-ridge/455097694_zpid/,,61822,455097694
"1516 N Mattis Ave, Champaign, IL 61821",1200.0,1.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/8d5b9d2b027a6018f8a08aa407e5481b-p_e.jpg,40.13241,-88.2767,sqft,8364.0,"$179,999",179999.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1516-N-Mattis-Ave-Champaign-IL-61821/3220253_zpid/,,61821,3220253
"1409 Sand Dollar Dr, Champaign, IL 61822",1585.0,4.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/9119a23f4a1a73a4098ac7af13cb6e2e-p_e.jpg,40.130394,-88.30816,sqft,3800.0,"$349,900",349900.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1409-Sand-Dollar-Dr-Champaign-IL-61822/72587153_zpid/,,61822,72587153
"1108 Glen Abbey Dr, Champaign, IL 61822",2540.0,4.0,5.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/b815f4e2c47a00878fcdff84832c0456-p_e.jpg,40.104584,-88.32764,,,"$675,000",675000.0,IL,Active,FOR_SALE,https://www.zillow.com/homedetails/1108-Glen-Abbey-Dr-Champaign-IL-61822/89047866_zpid/,,61822,89047866
"207 W Beardsley Ave, Champaign, IL 61820",1994.0,2.0,3.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/1319f5a65853a1778b35421aed73a330-p_e.jpg,40.126152,-88.24616,sqft,8712.0,$0,0.0,IL,Auction,FOR_SALE,https://www.zillow.com/homedetails/207-W-Beardsley-Ave-Champaign-IL-61820/3224615_zpid/,,61820,3224615
"511 S Russell St, Champaign, IL 61821",1823.0,2.0,4.0,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/ae33025eb67008cc4a86beb68e36904d-p_e.jpg,40.110764,-88.26768,sqft,10454.4,$0,0.0,IL,Auction,FOR_SALE,https://www.zillow.com/homedetails/511-S-Russell-St-Champaign-IL-61821/3226664_zpid/,,61821,3226664
"1919 Crescent Dr, Champaign, IL 61821",1196.0,2.0,,Champaign,,SINGLE_FAMILY,https://photos.zillowstatic.com/fp/7e2f30a1a80265335f104b7b31e06f45-p_e.jpg,40.091133,-88.28093,,,$0,0.0,IL,Auction,FOR_SALE,https://www.zillow.com/homedetails/1919-Crescent-Dr-Champaign-IL-61821/3230966_zpid/,,61821,3230966
