address,addressCity,Zipcode,area,baths,beds,soldPrice,zestimate,latitude,longitude,livingArea,rentZestimate,daysOnZillow,homeType,median_income,bus_stops_1km,police_beat,restaurants_nearby,cafes_nearby,schools_nearby,parks_nearby,gyms_nearby,supermarkets_nearby,drive_to_uiuc_main_quad_min,drive_to_downtown_champaign_min,drive_to_carle_hospital_min,drive_to_memorial_stadium_min,drive_to_willard_airport_min
"748 Sedgegrass Dr, Champaign, IL 61822",Champaign,61822,1593,3.0,3.0,"$265,000",266100,40.123577,-88.30621,1593,2251,53,TOWNHOUSE,94712.0,31.0,14,0.0,0.0,0.0,1.0,0.0,0.0,14.983333333333333,11.883333333333333,16.216666666666665,15.883333333333333,15.75
"701 Kenwood Rd APT A, Champaign, IL 61821",Champaign,61821,1100,2.0,2.0,"$97,500",98000,40.1091,-88.286385,1100,1299,56,CONDO,87298.0,40.0,24,20.0,3.0,8.0,5.0,3.0,0.0,10.316666666666666,8.1,11.466666666666667,10.016666666666667,11.4
"2909 W John St, Champaign, IL 61821",Champaign,61821,1488,3.0,,"$95,000",203100,40.108795,-88.294624,1488,2016,57,SINGLE_FAMILY,87298.0,29.0,24,5.0,1.0,1.0,2.0,1.0,0.0,11.55,9.333333333333334,12.683333333333334,11.2,11.716666666666667
"4006 Tallgrass Dr, Champaign, IL 61822",Champaign,61822,1470,3.0,4.0,"$370,000",371400,40.12211,-88.31093,1470,2509,57,SINGLE_FAMILY,94712.0,17.0,14,1.0,0.0,0.0,1.0,2.0,0.0,15.45,12.333333333333334,16.666666666666668,15.566666666666666,15.066666666666666
"610 English Creek Ct, Champaign, IL 61821",Champaign,61821,1000,1.5,2.0,"$114,500",115100,40.10968,-88.29386,1000,1287,64,MULTI_FAMILY,23627.0,29.0,24,8.0,1.0,1.0,2.0,1.0,0.0,11.466666666666667,9.25,12.6,11.166666666666666,11.716666666666667
"3313 Saratoga Dr, Champaign, IL 61821",Champaign,61821,936,1.0,3.0,"$140,000",140800,40.10953,-88.30283,936,1334,68,SINGLE_FAMILY,51297.0,24.0,24,0.0,0.0,1.0,2.0,0.0,0.0,12.983333333333333,10.783333333333333,14.133333333333333,12.233333333333333,12.733333333333333
"3911 Tallgrass Dr, Champaign, IL 61822",Champaign,61822,1874,3.0,3.0,"$299,900",301300,40.12269,-88.309296,1874,2592,68,SINGLE_FAMILY,94712.0,35.0,14,0.0,0.0,0.0,1.0,1.0,0.0,15.116666666666667,12.0,16.333333333333332,15.833333333333334,15.316666666666666
"626 Sedgegrass Dr, Champaign, IL 61822",Champaign,61822,1549,2.0,3.0,"$280,000",281400,40.120815,-88.311554,1549,1880,71,MULTI_FAMILY,94712.0,14.0,14,1.0,0.0,0.0,0.0,3.0,0.0,15.05,13.0,16.183333333333334,15.283333333333333,14.783333333333333
"610 English Creek Ct APT B, Champaign, IL 61821",Champaign,61821,980,1.0,2.0,"$114,500",115500,40.10968,-88.29386,980,1212,74,TOWNHOUSE,23627.0,29.0,24,8.0,1.0,1.0,2.0,1.0,0.0,11.466666666666667,9.25,12.6,11.166666666666666,11.716666666666667
"3214 York Dr, Champaign, IL 61821",Champaign,61821,932,1.0,3.0,"$143,000",143800,40.110653,-88.30048,932,1332,75,SINGLE_FAMILY,51297.0,22.0,24,1.0,0.0,1.0,3.0,0.0,0.0,12.816666666666666,10.6,13.966666666666667,12.266666666666667,12.766666666666667
"2553 Clayton Blvd, Champaign, IL 61822",Champaign,61822,1262,2.0,3.0,"$179,000",180200,40.122887,-88.28657,1262,1661,78,SINGLE_FAMILY,60989.0,33.0,14,10.0,1.0,4.0,4.0,4.0,0.0,13.166666666666666,9.766666666666667,14.1,13.983333333333333,14.916666666666666
"2904 W John St, Champaign, IL 61821",Champaign,61821,1000,1.5,2.0,"$102,500",103200,40.109486,-88.29423,1000,1265,78,CONDO,23627.0,28.0,24,6.0,1.0,1.0,2.0,1.0,0.0,11.4,9.183333333333334,12.55,11.1,11.65
"3722 Balcary Bay, Champaign, IL 61822",Champaign,61822,1208,2.0,2.0,"$147,000",147100,40.12944,-88.30796,1208,1556,29,APARTMENT,86667.0,21.0,14,0.0,0.0,0.0,2.0,0.0,0.0,14.55,11.45,15.783333333333333,15.45,15.266666666666667
"3905 Boulder Ridge Dr, Champaign, IL 61822",Champaign,61822,1988,3.0,3.0,"$315,000",315700,40.13122,-88.31097,1988,2359,34,SINGLE_FAMILY,86667.0,14.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.033333333333333,11.916666666666666,16.25,15.516666666666667,15.016666666666667
"3711 Boulder Ridge Dr, Champaign, IL 61822",Champaign,61822,1340,4.0,3.0,"$209,000",209700,40.131184,-88.307274,1340,1707,47,TOWNHOUSE,86667.0,27.0,14,0.0,0.0,0.0,1.0,0.0,0.0,14.866666666666667,11.75,16.083333333333332,15.75,15.6
"3210 Amy Dr, Champaign, IL 61822",Champaign,61822,1991,2.0,4.0,"$299,900",301000,40.13096,-88.29909,1991,2621,48,SINGLE_FAMILY,86667.0,31.0,14,0.0,0.0,0.0,1.0,1.0,0.0,13.95,10.833333333333334,15.1,14.833333333333334,15.35
"3423 Boulder Ridge Dr, Champaign, IL 61822",Champaign,61822,1652,4.0,4.0,"$305,000",305700,40.1312,-88.30367,1652,1789,49,MULTI_FAMILY,86667.0,29.0,14,0.0,0.0,0.0,2.0,0.0,0.0,15.4,12.283333333333333,16.616666666666667,16.283333333333335,16.133333333333333
"1321 W Ridge Ln, Champaign, IL 61822",Champaign,61822,1445,3.0,3.0,"$329,900",331400,40.129665,-88.31429,1445,1981,50,SINGLE_FAMILY,86667.0,11.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.7,12.6,16.933333333333334,16.283333333333335,15.783333333333333
"3709 Boulder Ridge Dr, Champaign, IL 61822",Champaign,61822,1357,4.0,3.0,"$229,900",230700,40.131184,-88.307175,1357,1734,53,CONDO,86667.0,26.0,14,0.0,0.0,0.0,1.0,0.0,0.0,14.883333333333333,11.766666666666667,16.1,15.766666666666667,15.616666666666667
"3408 Boulder Ridge Dr, Champaign, IL 61822",Champaign,61822,2132,3.0,3.0,"$297,500",298500,40.13206,-88.303246,2132,2098,53,MULTI_FAMILY,86667.0,27.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.533333333333333,12.416666666666666,16.75,16.416666666666668,16.266666666666666
"1609 Bonnie Blair Dr, Champaign, IL 61822",Champaign,61822,1436,2.0,3.0,"$252,000",252900,40.13247,-88.29859,1436,2281,54,SINGLE_FAMILY,86667.0,24.0,14,0.0,0.0,0.0,0.0,1.0,0.0,14.333333333333334,11.216666666666667,15.466666666666667,15.216666666666667,15.733333333333333
"3801 Clubhouse Dr APT 105, Champaign, IL 61822",Champaign,61822,1526,2.0,3.0,"$250,000",248100,40.13387,-88.30488,1526,1890,56,CONDO,86667.0,22.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.983333333333333,12.866666666666667,17.2,16.866666666666667,16.716666666666665
"3801 Clubhouse Dr APT 105, Champaign, IL 61822",Champaign,61822,1576,2.0,3.0,"$250,000",251600,40.13387,-88.30488,1576,1931,60,CONDO,86667.0,22.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.983333333333333,12.866666666666667,17.2,16.866666666666667,16.716666666666665
"3454 Stoneway Ct, Champaign, IL 61822",Champaign,61822,1240,3.0,3.0,"$174,900",168400,40.130432,-88.30352,1240,1654,60,CONDO,86667.0,30.0,14,0.0,0.0,0.0,2.0,0.0,0.0,16.766666666666666,13.666666666666666,17.983333333333334,17.65,17.516666666666666
"1408 Myrtle Beach Ave, Champaign, IL 61822",Champaign,61822,1683,3.0,4.0,"$255,000",256200,40.130325,-88.30662,1683,2173,64,SINGLE_FAMILY,86667.0,22.0,14,0.0,0.0,0.0,1.0,0.0,0.0,15.15,12.033333333333333,16.366666666666667,16.033333333333335,15.85
"3908 Summer Sage Ct, Champaign, IL 61822",Champaign,61822,1481,3.0,4.0,"$290,000",292200,40.12734,-88.3097,1481,1976,69,TOWNHOUSE,94712.0,23.0,14,0.0,0.0,0.0,2.0,0.0,0.0,14.5,11.4,15.733333333333333,15.4,15.266666666666667
"1406 Myrtle Beach Ave, Champaign, IL 61822",Champaign,61822,1683,3.0,4.0,"$255,000",258200,40.13022,-88.30658,1683,2185,69,TOWNHOUSE,86667.0,38.0,14,0.0,0.0,0.0,2.0,0.0,0.0,15.1,12.0,16.333333333333332,16.0,15.816666666666666
"820 Bluegrass Ln, Champaign, IL 61822",Champaign,61822,1830,3.0,5.0,"$350,000",352800,40.126064,-88.30769,1830,2343,71,SINGLE_FAMILY,94712.0,38.0,14,0.0,0.0,0.0,2.0,0.0,0.0,14.233333333333333,11.116666666666667,15.45,15.116666666666667,14.983333333333333
"3716 Balcary Bay, Champaign, IL 61822",Champaign,61822,1236,2.0,3.0,"$148,000",143900,40.129528,-88.307274,1236,1698,71,SINGLE_FAMILY,86667.0,27.0,14,0.0,0.0,0.0,2.0,0.0,0.0,15.083333333333334,11.983333333333333,16.316666666666666,15.983333333333333,15.8
"4005 Pebblebrook Ln, Champaign, IL 61822",Champaign,61822,2356,3.0,4.0,"$349,900",352300,40.12807,-88.31262,2356,2500,74,SINGLE_FAMILY,86667.0,38.0,14,0.0,0.0,0.0,1.0,0.0,0.0,14.883333333333333,11.766666666666667,16.1,15.766666666666667,15.583333333333334
"3112 Valerie Dr, Champaign, IL 61822",Champaign,61822,1420,2.0,3.0,"$250,000",253700,40.12977,-88.298004,1420,1904,76,SINGLE_FAMILY,86667.0,38.0,14,0.0,0.0,0.0,1.0,1.0,0.0,13.433333333333334,10.316666666666666,14.566666666666666,14.316666666666666,14.816666666666666
"3610 Freedom Blvd, Champaign, IL 61822",Champaign,61822,2007,3.0,3.0,"$450,000",450300,40.068096,-88.27169,2007,2687,35,SINGLE_FAMILY,126458.0,0.0,23,0.0,0.0,0.0,1.0,0.0,0.0,13.183333333333334,11.716666666666667,13.666666666666666,8.816666666666666,5.433333333333334
"1806 Floral Park Dr, Savoy, IL 61874",Savoy,61874,1817,3.0,3.0,"$365,000",366300,40.078434,-88.253075,1817,2471,39,SINGLE_FAMILY,87534.0,0.0,,12.0,2.0,7.0,4.0,1.0,0.0,11.616666666666667,10.383333333333333,12.1,7.25,8.433333333333334
"403 Harpers Ferry, Savoy, IL 61874",Savoy,61874,3373,4.0,5.0,"$579,900",582000,40.058434,-88.267456,3373,4130,39,SINGLE_FAMILY,126458.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,16.366666666666667,14.9,16.85,12.0,6.35
"401 Harpers Ferry, Savoy, IL 61874",Savoy,61874,2510,4.0,5.0,"$568,788",570300,40.05824,-88.267456,2510,3587,47,SINGLE_FAMILY,126458.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,16.416666666666668,14.966666666666667,16.9,12.066666666666666,6.416666666666667
"402 Wesley Ave, Savoy, IL 61874",Savoy,61874,1799,3.0,4.0,"$356,000",357200,40.058468,-88.25256,1799,2317,54,SINGLE_FAMILY,126458.0,0.0,,5.0,0.0,2.0,5.0,2.0,1.0,13.366666666666667,11.9,13.85,9.0,5.833333333333333
"1416 Quail Run Dr, Savoy, IL 61874",Savoy,61874,1361,2.0,3.0,"$225,000",225800,40.072495,-88.25281,1361,1747,56,SINGLE_FAMILY,87534.0,23.0,,12.0,2.0,5.0,2.0,0.0,0.0,11.6,10.133333333333333,12.083333333333334,7.233333333333333,7.983333333333333
"704 Wesley Ave, Savoy, IL 61874",Savoy,61874,1968,3.0,3.0,"$340,000",341500,40.06323,-88.25431,1968,2633,57,SINGLE_FAMILY,126458.0,5.0,,12.0,1.0,3.0,5.0,2.0,1.0,12.533333333333333,11.066666666666666,13.016666666666667,8.166666666666666,6.783333333333333
"1803 Lyndhurst Dr, Savoy, IL 61874",Savoy,61874,1828,3.0,3.0,"$302,500",305200,40.077755,-88.251144,1828,2299,60,SINGLE_FAMILY,87534.0,26.0,,13.0,2.0,5.0,4.0,0.0,0.0,11.016666666666667,9.566666666666666,11.833333333333334,6.983333333333333,9.2
"1206 Wilshire Ct, Champaign, IL 61821",Champaign,61821,3139,3.0,4.0,"$498,812",501600,40.077217,-88.26452,3139,3347,74,SINGLE_FAMILY,179609.0,24.0,23,3.0,0.0,5.0,3.0,1.0,0.0,12.45,10.7,12.95,8.1,8.933333333333334
"1007 Pheasant Cir, Savoy, IL 61874",Savoy,61874,1380,2.0,2.0,"$249,000",257400,40.06738,-88.25542,1380,1945,75,CONDO,126458.0,11.0,,15.0,2.0,5.0,2.0,1.0,1.0,12.75,11.283333333333333,13.233333333333333,8.383333333333333,7.766666666666667
"1601 Congressional Way, Champaign, IL 61822",Champaign,61822,1691,3.0,3.0,"$475,000",478600,40.06535,-88.27315,1691,2121,82,MULTI_FAMILY,126458.0,1.0,23,0.0,0.0,0.0,1.0,0.0,0.0,13.75,12.3,14.25,9.4,5.133333333333334
"18 Evergreen Sq, Savoy, IL 61874",Savoy,61874,1170,2.0,2.0,"$185,000",186700,40.07622,-88.25336,1170,1450,89,CONDO,87534.0,27.0,,11.0,2.0,6.0,5.0,0.0,0.0,11.65,10.2,12.133333333333333,7.283333333333333,9.166666666666666
"1017 Pheasant Cir, Savoy, IL 61874",Savoy,61874,1331,2.0,3.0,"$270,000",272200,40.067238,-88.25696,1331,1534,92,MULTI_FAMILY,126458.0,27.0,,15.0,2.0,5.0,2.0,1.0,1.0,12.783333333333333,11.316666666666666,13.266666666666667,8.416666666666666,7.8
"1014 Pheasant Cir, Savoy, IL 61874",Savoy,61874,1290,2.0,3.0,"$250,000",252600,40.067356,-88.256546,1290,1517,97,MULTI_FAMILY,126458.0,27.0,,15.0,2.0,5.0,2.0,1.0,1.0,12.816666666666666,11.35,13.3,8.45,7.833333333333333
"14 Holly Ct, Savoy, IL 61874",Savoy,61874,3188,3.0,5.0,"$390,000",394900,40.077038,-88.25527,3188,2888,109,SINGLE_FAMILY,87534.0,29.0,,11.0,2.0,8.0,4.0,1.0,0.0,12.183333333333334,10.433333333333334,12.683333333333334,7.833333333333333,8.6
"1212 Quail Run Dr, Savoy, IL 61874",Savoy,61874,1361,2.0,3.0,"$268,000",271700,40.07032,-88.25338,1361,1821,113,CONDO,87534.0,16.0,,12.0,2.0,5.0,3.0,0.0,0.0,12.483333333333333,11.016666666666667,12.966666666666667,8.116666666666667,7.6
"1212 Quail Run Dr #0, Savoy, IL 61874",Savoy,61874,1361,2.0,3.0,"$268,000",271500,40.0704,-88.25339,1361,1830,118,CONDO,87534.0,18.0,,12.0,2.0,5.0,3.0,0.0,0.0,12.483333333333333,11.033333333333333,12.966666666666667,8.133333333333333,7.583333333333333
"1419 Quail Run Dr, Savoy, IL 61874",Savoy,61874,1600,3.0,3.0,"$231,000",233600,40.07296,-88.25324,1600,1984,123,CONDO,87534.0,18.0,,12.0,2.0,5.0,2.0,0.0,0.0,11.416666666666666,9.966666666666667,11.9,7.05,7.8
"1609 Lyndhurst Dr, Savoy, IL 61874",Savoy,61874,845,1.0,2.0,"$140,000",141700,40.07566,-88.252174,845,1153,124,CONDO,87534.0,28.0,,11.0,2.0,5.0,5.0,0.0,0.0,11.133333333333333,9.666666666666666,11.616666666666667,6.766666666666667,8.933333333333334
"3 Clover Leaf Ct, Savoy, IL 61874",Savoy,61874,2427,3.0,4.0,"$330,000",334100,40.07845,-88.25595,2427,2564,126,SINGLE_FAMILY,87534.0,18.0,,11.0,2.0,9.0,4.0,1.0,0.0,11.8,10.05,12.3,7.45,8.65
"502 Wesley Ave, Savoy, IL 61874",Savoy,61874,2336,3.0,4.0,"$350,000",350300,40.060356,-88.25411,2336,2990,130,SINGLE_FAMILY,126458.0,2.0,,5.0,0.0,2.0,4.0,2.0,1.0,13.083333333333334,11.633333333333333,13.583333333333334,8.733333333333333,6.216666666666667
"1512 Waterford Pl, Champaign, IL 61821",Champaign,61821,2714,4.0,5.0,"$650,000",658400,40.079796,-88.269775,2714,2675,131,SINGLE_FAMILY,179609.0,24.0,23,3.0,0.0,4.0,2.0,1.0,0.0,12.7,10.966666666666667,13.2,8.35,8.133333333333333
"601 Pittsfield Dr, Champaign, IL 61822",Champaign,61822,2992,4.0,3.0,"$535,000",542600,40.074764,-88.259346,2992,3168,141,SINGLE_FAMILY,179609.0,0.0,,11.0,2.0,7.0,3.0,1.0,0.0,12.033333333333333,10.283333333333333,12.533333333333333,7.683333333333334,7.566666666666666
"404 Capitol St, Savoy, IL 61874",Savoy,61874,2928,4.0,4.0,"$512,500",519900,40.058548,-88.274925,2928,3692,148,SINGLE_FAMILY,126458.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,15.016666666666667,13.816666666666666,15.5,10.65,3.683333333333333
"407 Harpers Ferry, Savoy, IL 61874",Savoy,61874,2162,3.0,3.0,"$59,000",489700,40.058815,-88.26746,2162,3014,155,SINGLE_FAMILY,126458.0,0.0,,0.0,0.0,0.0,2.0,1.0,0.0,16.25,14.783333333333333,16.733333333333334,11.883333333333333,6.233333333333333
"2703 E Coddington Cir, Urbana, IL 61802",Urbana,61802,2735,3.0,4.0,"$330,000",339200,40.113934,-88.1717,2735,2920,225,SINGLE_FAMILY,-666666666.0,23.0,,4.0,0.0,0.0,2.0,0.0,1.0,10.0,11.6,6.2,10.116666666666667,18.5
"2706 Arlene Dr, Urbana, IL 61802",Urbana,61802,1520,2.0,3.0,"$236,000",242900,40.141174,-88.17172,1520,2049,231,SINGLE_FAMILY,63643.0,13.0,,0.0,0.0,2.0,1.0,0.0,0.0,12.55,11.066666666666666,9.733333333333333,13.583333333333334,21.1
"2607 E High St, Urbana, IL 61802",Urbana,61802,925,1.0,3.0,"$133,000",136900,40.127438,-88.14924,925,1442,231,SINGLE_FAMILY,78500.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,13.883333333333333,15.483333333333333,10.083333333333334,14.283333333333333,20.816666666666666
"804 S Sunny Ln, Urbana, IL 61802",Urbana,61802,1168,2.0,3.0,"$180,000",185400,40.10619,-88.17223,1168,1708,235,SINGLE_FAMILY,54583.0,21.0,,0.0,0.0,2.0,3.0,1.0,0.0,11.95,14.033333333333333,7.916666666666667,9.666666666666666,18.533333333333335
"2808 Clarion Rd, Urbana, IL 61802",Urbana,61802,1894,2.0,3.0,"$379,900",392000,40.11867,-88.17019,1894,2840,242,SINGLE_FAMILY,-666666666.0,23.0,,0.0,0.0,0.0,1.0,0.0,1.0,11.783333333333333,13.383333333333333,7.983333333333333,11.9,19.9
"802 S Sunny Ln, Urbana, IL 61802",Urbana,61802,1260,2.0,3.0,"$197,500",203800,40.106373,-88.17224,1260,1792,242,SINGLE_FAMILY,54583.0,28.0,,0.0,0.0,2.0,3.0,1.0,0.0,12.0,14.1,7.966666666666667,9.733333333333333,18.583333333333332
"207 Dodson Dr S, Urbana, IL 61802",Urbana,61802,925,1.0,3.0,"$127,500",133100,40.110252,-88.17653,925,1340,243,SINGLE_FAMILY,54583.0,28.0,,4.0,0.0,2.0,4.0,1.0,0.0,10.266666666666667,12.333333333333334,6.233333333333333,9.466666666666667,19.066666666666666
"2609 E California Ave, Urbana, IL 61802",Urbana,61802,1073,1.0,4.0,"$139,500",166600,40.10706,-88.170525,1073,1370,246,SINGLE_FAMILY,54583.0,26.0,,0.0,0.0,2.0,3.0,0.0,1.0,12.316666666666666,14.283333333333333,8.283333333333333,10.366666666666667,18.166666666666668
"2814 Clarion Rd, Urbana, IL 61802",Urbana,61802,1939,3.0,3.0,"$390,360",403500,40.11859,-88.16934,1939,2851,249,SINGLE_FAMILY,-666666666.0,34.0,,0.0,0.0,0.0,1.0,0.0,1.0,12.0,13.583333333333334,8.183333333333334,12.1,19.7
"2406 Sharlyn Dr, Urbana, IL 61802",Urbana,61802,1263,1.0,3.0,"$135,000",171600,40.135494,-88.175125,1263,1703,259,SINGLE_FAMILY,78500.0,16.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.583333333333334,12.816666666666666,8.766666666666667,12.616666666666667,22.933333333333334
"2821 Haydon Dr, Urbana, IL 61802",Urbana,61802,2410,3.0,3.0,"$355,075",367700,40.118954,-88.16876,2410,2908,259,SINGLE_FAMILY,-666666666.0,13.0,,0.0,0.0,0.0,1.0,0.0,1.0,12.3,13.883333333333333,8.483333333333333,12.4,19.966666666666665
"3411 E Airport Rd, Urbana, IL 61802",Urbana,61802,2923,3.0,3.0,"$179,000",431700,40.141228,-88.15853,2923,2846,274,SINGLE_FAMILY,78500.0,13.0,,1.0,0.0,3.0,1.0,1.0,0.0,13.566666666666666,12.033333333333333,10.916666666666666,14.616666666666667,21.633333333333333
"206 Dodson Dr E, Urbana, IL 61802",Urbana,61802,1315,2.0,3.0,"$180,000",187000,40.114433,-88.17255,1315,1978,278,SINGLE_FAMILY,-666666666.0,13.0,,4.0,0.0,0.0,2.0,0.0,1.0,10.2,11.8,6.4,10.316666666666666,18.916666666666668
"2409 Brownfield Rd, Urbana, IL 61802",Urbana,61802,875,1.0,2.0,"$155,000",161200,40.138054,-88.17375,875,1098,280,TOWNHOUSE,63643.0,14.0,,0.0,0.0,2.0,0.0,0.0,0.0,11.533333333333333,11.466666666666667,8.716666666666667,12.583333333333334,22.6
"2506 Fieldcrest Dr, Urbana, IL 61802",Urbana,61802,1710,2.0,3.0,"$255,500",265900,40.139153,-88.175545,1710,2513,284,SINGLE_FAMILY,63643.0,14.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.566666666666666,11.033333333333333,9.733333333333333,13.6,21.066666666666666
"310 S Sunrise Dr, Urbana, IL 61802",Urbana,61802,1225,1.0,,"$58,000",136300,40.109188,-88.16802,1225,1553,288,SINGLE_FAMILY,54583.0,15.0,,1.0,0.0,1.0,2.0,0.0,1.0,12.183333333333334,14.266666666666667,8.166666666666666,11.166666666666666,18.7
"2804 E Illinois St, Urbana, IL 61802",Urbana,61802,1073,1.0,3.0,"$134,000",139600,40.1075,-88.167786,1073,1496,291,SINGLE_FAMILY,54583.0,20.0,,1.0,0.0,1.0,2.0,0.0,1.0,11.633333333333333,13.6,7.6,10.216666666666667,17.766666666666666
"2012 Brownfield Rd, Urbana, IL 61802",Urbana,61802,1440,2.0,3.0,"$167,500",232400,40.133667,-88.17733,1440,2014,295,SINGLE_FAMILY,78500.0,19.0,,0.0,0.0,0.0,0.0,0.0,0.0,10.9,12.15,8.083333333333334,11.95,22.266666666666666
"2705 Milford Dr, Urbana, IL 61802",Urbana,61802,1617,2.0,3.0,"$240,000",251100,40.141384,-88.18321,1617,2399,309,SINGLE_FAMILY,63643.0,12.0,,0.0,0.0,0.0,0.0,0.0,0.0,11.683333333333334,10.15,8.85,12.716666666666667,20.183333333333334
"702 Dodson Dr W, Urbana, IL 61802",Urbana,61802,1747,2.0,3.0,"$210,000",219700,40.11884,-88.173416,1747,2203,315,SINGLE_FAMILY,-666666666.0,20.0,,4.0,0.0,0.0,1.0,0.0,1.0,11.316666666666666,12.916666666666666,7.516666666666667,11.433333333333334,20.033333333333335
"2503 Fieldcrest Dr, Urbana, IL 61802",Urbana,61802,1935,2.0,4.0,"$294,000",309100,40.138706,-88.17627,1935,2463,321,SINGLE_FAMILY,63643.0,15.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.666666666666666,11.133333333333333,9.85,13.7,21.166666666666668
"2505 N Skyline Dr, Urbana, IL 61802",Urbana,61802,1719,2.0,4.0,"$275,900",290200,40.139275,-88.18164,1719,2315,323,SINGLE_FAMILY,63643.0,22.0,,0.0,0.0,0.0,0.0,0.0,0.0,12.4,10.866666666666667,9.583333333333334,13.45,20.916666666666668
"2112 Rainbow Vw, Urbana, IL 61802",Urbana,61802,1199,2.0,3.0,"$180,000",188800,40.103474,-88.18002,1199,1601,326,SINGLE_FAMILY,84683.0,35.0,,0.0,0.0,3.0,3.0,1.0,0.0,11.083333333333334,13.683333333333334,7.066666666666666,7.95,18.583333333333332
"2207 Rainbow Vw, Urbana, IL 61802",Urbana,61802,1284,2.0,3.0,"$125,000",190300,40.103325,-88.17896,1284,1982,326,SINGLE_FAMILY,84683.0,34.0,,0.0,0.0,3.0,3.0,1.0,0.0,11.216666666666667,13.816666666666666,7.2,8.083333333333334,18.716666666666665
"2414 Elizabeth St, Urbana, IL 61802",Urbana,61802,1597,2.0,3.0,"$184,600",194300,40.119007,-88.17404,1597,2103,334,SINGLE_FAMILY,-666666666.0,34.0,,4.0,0.0,0.0,1.0,0.0,1.0,11.4,12.983333333333333,7.583333333333333,11.5,20.1
"2110 E Country Squire Dr, Urbana, IL 61802",Urbana,61802,975,1.0,3.0,"$107,000",139200,40.10272,-88.18013,975,1411,335,SINGLE_FAMILY,84683.0,37.0,,0.0,0.0,3.0,3.0,1.0,0.0,11.166666666666666,13.766666666666667,7.15,7.916666666666667,18.55
"2312 John Dr, Urbana, IL 61802",Urbana,61802,1790,3.0,,"$110,000",272900,40.11825,-88.17635,1790,2165,337,SINGLE_FAMILY,-666666666.0,18.0,,4.0,0.0,0.0,1.0,0.0,0.0,10.766666666666667,12.35,6.966666666666667,10.883333333333333,20.783333333333335
"606 S Scottswood Dr, Urbana, IL 61802",Urbana,61802,925,1.0,3.0,"$130,000",154400,40.10751,-88.17326,925,1340,347,SINGLE_FAMILY,54583.0,29.0,,0.0,0.0,2.0,3.0,1.0,0.0,10.916666666666666,12.983333333333333,6.883333333333334,9.483333333333333,18.4
"2320 E Main St, Urbana, IL 61802",Urbana,61802,1621,1.0,3.0,"$88,000",92800,40.113327,-88.17615,1621,1549,350,SINGLE_FAMILY,-666666666.0,30.0,,4.0,0.0,2.0,2.0,1.0,1.0,9.933333333333334,12.0,5.9,9.816666666666666,19.483333333333334
"2303 Slayback St, Urbana, IL 61802",Urbana,61802,1738,2.0,3.0,"$225,000",238300,40.116913,-88.17779,1738,1976,354,SINGLE_FAMILY,-666666666.0,30.0,,4.0,0.0,0.0,1.0,0.0,0.0,10.15,11.733333333333333,6.333333333333333,10.25,19.933333333333334
"406 Ira St, Urbana, IL 61802",Urbana,61802,1407,3.0,4.0,"$227,500",263600,40.116962,-88.17443,1407,2160,356,SINGLE_FAMILY,-666666666.0,21.0,,4.0,0.0,0.0,1.0,0.0,1.0,10.733333333333333,12.316666666666666,6.916666666666667,10.833333333333334,19.95
"508 S Scottswood Dr, Urbana, IL 61802",Urbana,61802,1073,1.0,4.0,"$80,000",84400,40.108,-88.17327,1073,1381,357,SINGLE_FAMILY,54583.0,22.0,,1.0,0.0,2.0,3.0,1.0,0.0,10.816666666666666,12.883333333333333,6.783333333333333,9.55,18.466666666666665
"1801 Cindy Lynn St, Urbana, IL 61802",Urbana,61802,2275,3.0,4.0,"$160,000",373600,40.130066,-88.16594,2275,2568,363,SINGLE_FAMILY,78500.0,8.0,,1.0,0.0,2.0,0.0,0.0,0.0,13.916666666666666,13.75,10.116666666666667,14.033333333333333,20.833333333333332
"2406 Edward St, Urbana, IL 61802",Urbana,61802,2016,3.0,3.0,"$245,000",259600,40.116592,-88.17541,2016,2371,369,SINGLE_FAMILY,-666666666.0,22.0,,4.0,0.0,0.0,1.0,0.0,1.0,10.7,12.283333333333333,6.883333333333334,10.8,20.5
"2910 N Brickhouses Rd, Urbana, IL 61802",Urbana,61802,4793,6.0,6.0,"$880,000",1061300,40.143974,-88.1586,4793,5598,372,SINGLE_FAMILY,118750.0,3.0,,0.0,0.0,3.0,1.0,1.0,0.0,14.133333333333333,12.6,11.466666666666667,15.166666666666666,22.2
"102 Dodson Dr S, Urbana, IL 61802",Urbana,61802,1117,1.0,3.0,"$105,000",111300,40.11276,-88.175514,1117,1400,376,SINGLE_FAMILY,54583.0,41.0,,4.0,0.0,2.0,2.0,1.0,1.0,9.75,11.816666666666666,5.716666666666667,9.633333333333333,19.133333333333333
